id,char,pinyins,script_type,hsk_level
881,兰,lán,simplified,7-9
882,共,gòng|gōng|gǒng|hóng,neutral,2
884,关,guān,simplified,1
885,兴,xīng|xìng,simplified,1
886,兵,bīng,neutral,4
887,其,qí|jī|jì,neutral,2
888,具,jù,neutral,3
889,典,diǎn|tiǎn,neutral,2
890,兹,zī|cí,simplified,7-9
892,养,yǎng,simplified,2
893,兼,jiān,neutral,7-9
894,兽,shòu,simplified,7-9
896,兿,yì,neutral,
897,冀,jì,neutral,
902,内,nèi|nà|ruì,neutral,3
903,円,yuán,neutral,
905,冈,gāng,simplified,7-9
907,冊,cè,traditional,
909,册,cè|zhà,neutral,5
910,再,zài,neutral,1
915,冒,mào|mò,neutral,3
918,冕,miǎn,neutral,
920,冗,rǒng,neutral,7-9
922,写,xiě|xiè,simplified,1
924,军,jūn,simplified,5
925,农,nóng,simplified,3
929,冠,guān|guàn,neutral,5
933,冤,yuān,neutral,7-9
934,冥,míng|mián|miàn,neutral,
941,冬,dōng,neutral,2
944,冯,féng|píng,simplified,7-9
945,冰,bīng|níng,neutral,4
947,冲,chōng|chòng,neutral,4
948,决,jué,simplified,3
950,况,kuàng,neutral,3
951,冶,yě,neutral,7-9
952,冷,lěng|líng|lǐng,neutral,1
956,冻,dòng,simplified,5
961,净,jìng|chēng,simplified,1
965,凄,qī,neutral,7-9
967,准,zhǔn,neutral,1
970,凉,liáng|liàng,neutral,2
972,凋,diāo,neutral,
973,凌,líng|lìng,neutral,7-9
974,凍,dòng,traditional,
976,减,jiǎn,neutral,4
978,凑,còu,neutral,7-9
990,凝,níng,neutral,7-9
993,几,jǐ|jī,neutral,1
994,凡,fán,neutral,6
997,凤,fèng,neutral,7-9
1006,凭,píng,neutral,5
1008,凯,kǎi,simplified,7-9
1009,凰,huáng,neutral,7-9
1010,凱,kǎi,traditional,
1012,凳,dèng,neutral,7-9
1015,凶,xiōng,neutral,6
1017,凸,tū,neutral,7-9
1019,出,chū,neutral,1
1020,击,jī,simplified,5
1022,函,hán,neutral,7-9
1024,凿,záo|zuò,simplified,7-9
1025,刀,dāo|diāo,neutral,3
1026,刁,diāo,neutral,7-9
1028,刃,rèn,neutral,
1031,分,fēn|fèn|fén,neutral,1
1032,切,qiè|qiē|qì,neutral,3
1035,刊,kān,neutral,6
1038,刍,chú,simplified,
1039,刎,wěn,neutral,
1042,刑,xíng,neutral,7-9
1043,划,huà|huá|guò|guǒ|huai,neutral,2
1048,列,liè|lì,neutral,4
1049,刘,liú,neutral,7-9
1050,则,zé,simplified,4
1051,刚,gāng,simplified,2
1052,创,chuàng|chuāng,simplified,3
1054,初,chū,neutral,3
1057,删,shān,neutral,7-9
1061,判,pàn,neutral,3
1062,別,bié,traditional,
1066,利,lì,neutral,2
1067,刪,shān,traditional,
1068,别,bié|biè,neutral,1
1071,刮,guā,neutral,6
1073,到,dào,neutral,1
1079,制,zhì,neutral,3
1080,刷,shuā|shuà,neutral,4
1081,券,quàn|xuàn,neutral,6
1082,刹,shā|chà,neutral,7-9
1083,刺,cì|cī|qì,neutral,4
1084,刻,kè|kēi,neutral,2
1091,剂,jì,simplified,7-9
1092,剃,tì,neutral,7-9
1096,則,zé,traditional,
1099,削,xuē|xiāo|qiào|shào,neutral,7-9
1102,前,qián|jiǎn,neutral,1
1103,剎,shā,traditional,
1106,剑,jiàn,simplified,6
1109,剔,tī|tì,neutral,7-9
1111,剖,pōu|pǒ,neutral,7-9
1116,剛,gāng,traditional,
1118,剝,bō,traditional,
1126,剥,bō|bāo|pū,simplified,7-9
1128,剧,jù,neutral,3
1130,剩,shèng,neutral,5
1131,剪,jiǎn,neutral,5
1136,副,fù|pì,neutral,6
1139,割,gē,neutral,7-9
1142,創,chuàng|chuāng|qiāng,traditional,
1156,劃,huà|huá|huai,traditional,
1160,劇,jù,traditional,
1161,劈,pī|pǐ,neutral,7-9
1162,劉,liú,traditional,
1166,劍,jiàn,traditional,
1170,劑,jì,traditional,
1180,力,lì,neutral,2
1182,劝,quàn,neutral,5
1183,办,bàn,neutral,2
1184,功,gōng,neutral,3
1185,加,jiā,neutral,2
1186,务,wù,simplified,2
1188,劣,liè,neutral,7-9
1193,动,dòng,neutral,1
1194,助,zhù|chú,neutral,2
1195,努,nǔ,neutral,2
1196,劫,jié,neutral,7-9
1202,励,lì,neutral,5
1203,劲,jìn|jìng,simplified,4
1204,劳,láo,neutral,5
1206,劵,juàn,neutral,
1215,劾,hé|kài,neutral,
1216,势,shì,neutral,3
1218,勁,jìn|jìng,traditional,
1220,勃,bó,neutral,7-9
1224,勇,yǒng,neutral,4
1226,勉,miǎn,neutral,7-9
1235,勒,lēi|lè|lei,neutral,7-9
1238,動,dòng,traditional,
1241,勘,kān,neutral,7-9
1242,務,wù|wǔ|wú|máo|mào,traditional,
1246,勝,shèng,traditional,
1247,勞,láo|lào|liáo,traditional,
1248,募,mù|bó,neutral,7-9
1251,勢,shì,traditional,
1253,勤,qín|qí,neutral,5
1270,勵,lì,traditional,
1273,勸,quàn,traditional,
1275,勺,sháo|shuò|zhuó|dì,neutral,6
1276,勻,yún,traditional,
1279,勾,gōu|gòu,neutral,7-9
1280,勿,wù|mò,neutral,7-9
1281,匀,yún|jūn|yùn,neutral,7-9
1286,包,bāo|páo|fú,neutral,1
1287,匆,cōng,neutral,7-9
1289,匈,xiōng,neutral,
1302,匕,bǐ|pìn,neutral,
1303,化,huà|huā|huò,neutral,3
1304,北,běi|bèi,neutral,1
1306,匙,shi|chí,neutral,7-9
1313,匠,jiàng,neutral,7-9
1323,匪,fěi|fēi|fēn,neutral,7-9
1327,匮,kuì|guì,simplified,
1328,匯,huì,traditional,
1330,匱,guì|kuì,traditional,
1338,匹,pǐ,neutral,5
1339,区,qū|ōu,neutral,3
1340,医,yī|yì,neutral,1
1344,匿,nì|tè,neutral,7-9
1345,區,qū|ōu|gōu|qiū|kòu,traditional,
1346,十,shí,neutral,1
1348,千,qiān,neutral,2
1352,升,shēng,neutral,3
1353,午,wǔ,neutral,1
1354,卉,huì,neutral,7-9
1355,半,bàn|pàn,neutral,1
1359,华,huá|huà|huā,simplified,3
1360,协,xié,simplified,5
1362,卑,bēi|bǐ|bì|pí|bān,neutral,7-9
1363,卒,zú|cù|cuì,neutral,7-9
1364,卓,zhuó|zhuō,neutral,7-9
1365,協,xié,traditional,
1366,单,dān|chán|shàn,neutral,2
1367,卖,mài,simplified,2
1368,南,nán|nā,neutral,1
1371,博,bó,neutral,5
1373,卜,bo|bǔ|pū,neutral,7-9
1377,占,zhàn|zhān|tiē,neutral,2
1378,卡,kǎ|qiǎ,neutral,2
1379,卢,lú,simplified,
1383,卦,guà,neutral,7-9
1384,卧,wò,neutral,5
1388,卫,wèi,simplified,3
1392,卯,mǎo,neutral,
1393,印,yìn|yì,neutral,2
1394,危,wēi,neutral,3
1396,即,jí,neutral,4
1397,却,què,neutral,4
1398,卵,luǎn|kūn,neutral,7-9
1400,卷,juǎn|juàn|quán|quān|gǔn|jùn,neutral,4
1401,卸,xiè,neutral,7-9
1402,卹,xù|sū,neutral,
1404,卻,què|jiǎo|xì,traditional,
1408,卿,qīng,neutral,
1411,厂,chǎng|hǎn|yán|ān,neutral,3
1413,厄,è|ě,neutral,7-9
1414,厅,tīng,simplified,5
1415,历,lì,neutral,3
1418,厉,lì,neutral,5
1420,压,yā|yà,neutral,3
1421,厌,yàn,simplified,5
1430,厕,cè|si,simplified,6
1433,厘,lí|chán,neutral,4
1435,厚,hòu,neutral,4
1440,原,yuán,neutral,2
1443,厢,xiāng,simplified,7-9
1446,厥,jué,neutral,
1447,厦,shà|xià,neutral,7-9
1449,厨,chú,neutral,5
1450,厩,jiù,neutral,
1454,厭,yàn|yā|yǎn|yān|yì,traditional,
1459,厲,lì|lài,traditional,
1468,去,qù|qū,neutral,1
1472,县,xiàn,simplified,4
1475,参,cān|cēn|shēn,neutral,2
1476,參,cān|shēn|sān|cēn|càn|sǎn,traditional,
1481,又,yòu,neutral,2
1482,叉,chā|chá|chǎ|chà,neutral,5
1483,及,jí,neutral,3
1484,友,yǒu,neutral,1
1485,双,shuāng,neutral,3
1486,反,fǎn|fàn,neutral,3
1490,发,fā|fà,simplified,2
1493,叔,shū,neutral,4
1495,取,qǔ|qū,neutral,2
1496,受,shòu|dào,neutral,2
1497,变,biàn,simplified,2
1498,叙,xù,neutral,7-9
1500,叛,pàn,neutral,7-9
1504,叟,sǒu|sōu|xiāo,neutral,
1505,叠,dié,neutral,7-9
1507,叢,cóng,traditional,
1508,口,kǒu,neutral,1
1509,古,gǔ|gù|kū,neutral,3
1510,句,jù|gōu|gòu|qú,neutral,2
1511,另,lìng,neutral,3
1513,叨,dāo|dáo|tāo,neutral,7-9
1514,叩,kòu,neutral,
1515,只,zhǐ|zhī,neutral,2
1516,叫,jiào,neutral,1
1517,召,zhào|shào,neutral,4
1518,叭,bā|pā|ba,neutral,7-9
1519,叮,dīng,neutral,7-9
1520,可,kě|kè|gē,neutral,2
1521,台,tái|tāi|yí|sì,neutral,3
1522,叱,chì|huà|é,neutral,
1523,史,shǐ,neutral,4
1524,右,yòu,neutral,1
1527,叶,yè|xié,neutral,4
1528,号,hào|háo|xiāo,neutral,1
1529,司,sī|cí|sì,neutral,2
1530,叹,tàn|yǐ|yòu,simplified,6
